mOBJECTID,STATEFP,CD119FP,GEOID,GEOIDFQ,NAMELSAD,LSAD,CDSESSN,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OFFICE_ID,BIOGUIDE_ID,OFFICE_AUDIT_ID,PREFIX,FIRSTNAME,MIDDLENAME,LASTNAME,SUFFIX,LISTING_NAME,PHONE,WEBSITEURL,VACANT,CONTACTFORMURL,PHOTOURL,FACE_BOOK_URL,TWITTER_URL,YOUTUBE_URL,INSTAGRAM_URL,FLICKR_URL,PARTY,DISTRICT,STATE,VACANCY,ROOM_NUM,HOB,COMMITTEE_ASSIGNMENTS,LAST_UPDATED,Shape__Area,Shape__Length
11,04,01,0401,5001900US0401,Congressional District 1,C2,119,G5200,N,4137523551,43192669,+33.6988663,-111.6614783,AZ01,S001183,00010730,Mr. ,David,,Schweikert,,"Schweikert, David",52190,https://schweikert.house.gov/,N,https://schweikert.house.gov/email/,https://ziplook.house.gov/zip/pictures/az01_schweikert.jpg,http://www.facebook.com/repdavidschweikert,http://twitter.com/RepDavid,http://www.youtube.com/RepDavidSchweikert,http://instagram.com/repdavid,,R,01,,,460,CHOB,Ways and Means,,6056388008.39453,450867.219384474
12,04,08,0408,5001900US0408,Congressional District 8,C2,119,G5200,N,1489986178,9069019,+33.7884639,-112.2013243,AZ08,H001098,00010968,Mr. ,Abraham,J.,Hamadeh,,"Hamadeh, Abraham",54576,https://hamadeh.house.gov/,N,https://hamadeh.house.gov/contact,https://ziplook.house.gov/zip/pictures/az08_hamadeh.jpg,,,,,,R,08,,,1722,LHOB,Energy and Commerce,,2175935371.59766,293562.634937669
13,04,05,0405,5001900US0405,Congressional District 5,C2,119,G5200,N,1049670778,1231081,+33.3057430,-111.6550857,AZ05,B001302,00010317,Mr. ,Andy,,Biggs,,"Biggs, Andy",52635,https://biggs.house.gov,N,https://biggs.house.gov/contact/email,https://ziplook.house.gov/zip/pictures/az05_biggs.jpg,http://www.facebook.com/RepAndyBiggs,http://twitter.com/RepAndyBiggsAZ,http://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w,http://instagram.com/repandybiggs,,R,05,,,252,CHOB,Oversight and Gov Reform;the Judiciary,,1508140488.78516,245876.833644039
14,04,06,0406,5001900US0406,Congressional District 6,C2,119,G5200,N,35461794826,50292175,+32.3738269,-109.9776441,AZ06,C001133,00010734,Mr. ,Juan,,Ciscomani,,"Ciscomani, Juan",52542,https://ciscomani.house.gov,N,https://ciscomani.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/az06_ciscomani.jpg,https://www.facebook.com/profile.php?id=100089186535085,https://twitter.com/RepCiscomani,https://youtube.com/channel/UCD329AYGX7YnMMSUaTKWHwA,https://instagram.com/epjuanciscomani/,,R,06,,,1429,LHOB,Appropriations;Veterans' Affairs,,49935836378.8711,1672981.32147266
15,04,04,0404,5001900US0404,Congressional District 4,C2,119,G5200,N,463210220,2371866,+33.3847293,-111.8597348,AZ04,S001211,00010733,Mr. ,Greg,,Stanton,,"Stanton, Greg",59888,https://stanton.house.gov/,N,https://stanton.house.gov/email-me,https://ziplook.house.gov/zip/pictures/az09_stanton.jpg,http://www.facebook.com/repgregstanton,http://twitter.com/repgregstanton,http://www.youtube.com/c/repgregstanton,https://www.instagram.com/repgregstanton/?hl=en,,D,04,,,207,CHOB,Foreign Affairs;Transportation,,669559394.828125,198790.394082182
16,04,02,0402,5001900US0402,Congressional District 2,C2,119,G5200,N,151135504644,354909476,+35.1172158,-111.0547718,AZ02,C001132,00010731,Mr. ,Elijah,,Crane,,"Crane, Elijah",53361,https://crane.house.gov,N,https://crane.house.gov/contact/,https://ziplook.house.gov/zip/pictures/az02_crane.jpg,https://www.facebook.com/profile.php?id=100088851021670,https://x.com/RepEliCrane,,,,R,02,,,1229,LHOB,Homeland Security;Small Business;Veterans' Affairs,,227118955786.656,3077167.24054651
17,04,07,0407,5001900US0407,Congressional District 7,C2,119,G5200,N,39931541853,13462632,+32.2613612,-112.3213640,AZ07,G000551,00010735,Mr. ,Raul,M.,Grijalva,,"Grijalva, Raul",52435,https://clerk.house.gov/members/AZ07/vacancy,Y,,https://ziplook.house.gov/zip/pictures/az07_grijalva.jpg,,,,,,D,07,,1,1203,LHOB,Education and Workforce;Natural Resources,,56031672622.9023,1985149.20275723
18,05,03,0503,5001900US0503,Congressional District 3,C2,119,G5200,N,10786551995,207866673,+36.0007166,-094.0298134,AR03,W000809,00009593,Mr. ,Steve,,Womack,,"Womack, Steve",54301,https://womack.house.gov/,N,https://womack.house.gov/contact/contactform.htm,https://ziplook.house.gov/zip/pictures/ar03_womack.jpg,https://www.facebook.com/RepSteveWomack,https://twitter.com/rep_stevewomack,https://www.youtube.com/user/CongressmanWomack,https://www.instagram.com/rep_stevewomack/,,R,03,,,2412,RHOB,Appropriations,,16836702026.832,698714.32835071
19,05,01,0501,5001900US0501,Congressional District 1,C2,119,G5200,N,51408903831,1427599347,+35.3511723,-091.3350800,AR01,C001087,00009591,Mr. ,Eric,A. ""Rick"",Crawford,,"Crawford, Eric",54076,https://crawford.house.gov/,N,https://crawford.house.gov/contact,https://ziplook.house.gov/zip/pictures/ar01_crawford.jpg,https://www.facebook.com/RepRickCrawford,https://twitter.com/reprickcrawford,https://www.youtube.com/user/RepRickCrawford,http://instagram.com/reprickcrawford,,R,01,,,2422,RHOB,"Agriculture;Intelligence (Permanent);Science, Space, and Technology;Transportation",,79654706329.6914,2857857.40793423
20,05,04,0504,5001900US0504,Congressional District 4,C2,119,G5200,N,58732135346,1125248881,+34.2089834,-093.1424686,AR04,W000821,00010180,Mr. ,Bruce,,Westerman,,"Westerman, Bruce",53772,https://westerman.house.gov/,N,https://westerman.house.gov/contact,https://ziplook.house.gov/zip/pictures/ar04_westerman.jpg,https://www.facebook.com/RepWesterman,https://x.com/RepWesterman,https://www.youtube.com/channel/UCNshPbmupCwP5a7Hi79jETQ/feed?view_as=public,https://www.instagram.com/repwesterman/?hl=en,,R,04,,,202,CHOB,Natural Resources;Transportation,,87774526056.5859,2050826.71733835
21,05,02,0502,5001900US0502,Congressional District 2,C2,119,G5200,N,13730926682,362000809,+35.1678883,-092.3758376,AR02,H001072,00010179,Mr. ,J.,French,Hill,,"Hill, J.",52506,https://hill.house.gov/,N,https://hill.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ar02_hill.jpg,https://www.facebook.com/repfrenchhill,https://twitter.com/repfrenchhill,http://www.youtube.com/channel/UCT8uWroJtkwSsCJlVg0IKvQ,https://instagram.com/repfrenchhill,,R,02,,,1533,LHOB,Financial Services;Foreign Affairs;Intelligence (Permanent),,21134556367.6016,998675.574382751
22,06,23,0623,5001900US0623,Congressional District 23,C2,119,G5200,N,46533428403,48562604,+34.9425038,-116.4363096,CA23,O000019,00010756,Mr. ,Jay,,Obernolte,,"Obernolte, Jay",55861,https://obernolte.house.gov,N,https://obernolte.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca23_obernolte.jpg,https://www.facebook.com/JayObernolte,https://x.com/JayObernolte,https://www.youtube.com/c/jayobernolte,https://www.instagram.com/jayobernolte/,,R,23,,,1029,LHOB,"Energy and Commerce;Science, Space, and Technology",,69453850143.3984,1417285.88472287
23,06,31,0631,5001900US0631,Congressional District 31,C2,119,G5200,N,537872265,8524991,+34.1457683,-117.8916313,CA31,C001123,00010975,Mr. ,Gilbert,Ray,Cisneros,Jr.,"Cisneros, Gilbert",55256,https://cisneros.house.gov/,N,https://cisneros.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca31_cisneros.jpg,https://www.facebook.com/RepGilCisneros,https://x.com/repgilcisneros,,https://www.instagram.com/repgilcisneros/,,D,31,,,2463,RHOB,Natural Resources;Transportation,,799717601.261719,310018.050270459
24,06,44,0644,5001900US0644,Congressional District 44,C2,119,G5200,N,236044846,66196569,+33.8069363,-118.2410007,CA44,B001300,00010321,Ms. ,Nanette,Diaz,Barragan,,"Barragan, Nanette",58220,https://barragan.house.gov,N,https://barragan.house.gov/about/contact/,https://ziplook.house.gov/zip/pictures/ca44_barragan.jpg,https://www.facebook.com/nanettebarraganforcongress,http://twitter.com/repbarragan,,http://instagram.com/repbarragan,,D,44,,,2312,RHOB,Energy and Commerce,,438886003.554688,184868.079806399
25,06,50,0650,5001900US0650,Congressional District 50,C2,119,G5200,N,664411673,402346282,+32.7161493,-117.2243019,CA50,P000608,00010773,Mr. ,Scott,H.,Peters,,"Peters, Scott",50508,https://scottpeters.house.gov,N,https://scottpeters.house.gov/email-me,https://ziplook.house.gov/zip/pictures/ca50_peters.jpg,http://www.facebook.com/repscottpeters,http://twitter.com/RepScottPeters,http://www.youtube.com/channel/UCQK77QJxW7Xr-S3zqeMd-0g,http://instagram.com/repscottpeters,http://www.flickr.com/photos/94780163@N02/,D,50,,,1201,LHOB,Energy and Commerce;the Budget,,1517238238.19141,408817.659907336
26,06,27,0627,5001900US0627,Congressional District 27,C2,119,G5200,N,3926710657,32032579,+34.6066288,-118.3582840,CA27,W000830,00010972,Mr. ,George,,Whitesides,,"Whitesides, George",51956,https://whitesides.house.gov/,N,https://whitesides.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca27_whitesides.jpg,https://www.facebook.com/RepWhitesides/,https://x.com/Rep_Whitesides,,https://www.instagram.com/repwhitesides/,,D,27,,,1504,LHOB,"Appropriations;Intelligence (Permanent);Science, Space, and Technology",,5857314081.17969,449229.936207768
27,06,13,0613,5001900US0613,Congressional District 13,C2,119,G5200,N,16297746813,146694993,+36.9176544,-120.5768234,CA13,G000605,00010970,Mr. ,Adam,,Gray,,"Gray, Adam",51947,https://gray.house.gov/,N,https://gray.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca13_gray.jpg,https://www.facebook.com/repadamgrayca,https://x.com/RepAdamGrayCA,,https://www.instagram.com/repadamgrayca/,,D,13,,,1230,LHOB,Agriculture;Natural Resources;Transportation,,25781090215.2734,1186790.59911133
28,06,20,0620,5001900US0620,Congressional District 20,C2,119,G5200,N,25052458116,128850046,+35.7564580,-118.6717298,CA20,F000480,00010954,Mr. ,Vince,,Fong,,"Fong, Vince",52915,https://fong.house.gov/,N,https://fong.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca20_fong.jpg,,,,,,R,20,,,2468,RHOB,,,38345701681.4219,2228338.22600952
29,06,03,0603,5001900US0603,Congressional District 3,C2,119,G5200,N,56116600729,988931429,+37.8264603,-118.8597634,CA03,K000401,00010737,Mr. ,Kevin,,Kiley,,"Kiley, Kevin",52523,https://kiley.house.gov,N,https://kiley.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca03_kiley.jpg,https://www.facebook.com/profile.php?id=100089382125341,https://twitter.com/RepKiley,https://www.youtube.com/@repkevinkiley,,,R,03,,,1032,LHOB,Education and Workforce;the Judiciary,,91860225326.4219,2954864.94153669
30,06,09,0609,5001900US0609,Congressional District 9,C2,119,G5200,N,3488337938,94520307,+37.9778744,-121.2067415,CA09,H001090,00010743,Mr. ,Josh,,Harder,,"Harder, Josh",54540,https://harder.house.gov/,N,https://harder.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca09_harder.jpg,http://www.facebook.com/RepJoshHarder,http://twitter.com/RepJoshHarder,http://www.youtube.com/housedems,http://instagram.com/repjoshharder,,D,09,,,209,CHOB,Appropriations,,5775643911.87109,551277.102132712
31,06,01,0601,5001900US0601,Congressional District 1,C2,119,G5200,N,68358619542,1696192460,+40.7590582,-121.7085861,CA01,L000578,00009881,Mr. ,Doug,,LaMalfa,,"LaMalfa, Doug",53076,https://lamalfa.house.gov,N,https://lamalfa.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca01_lamalfa.jpg,http://www.facebook.com/RepLaMalfa,http://twitter.com/RepLaMalfa,http://www.youtube.com/RepLaMalfa,http://instagram.com/repdouglamalfa/,,R,01,,,408,CHOB,Agriculture;Natural Resources;Transportation,,122295172655,2633905.56865298
32,06,08,0608,5001900US0608,Congressional District 8,C2,119,G5200,N,1246246527,346851360,+38.1132046,-122.1197077,CA08,G000559,00010742,Mr. ,John,,Garamendi,,"Garamendi, John",51880,https://garamendi.house.gov/,N,https://garamendi.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca08_garamendi.jpg,http://www.facebook.com/repgaramendi,http://twitter.com/RepGaramendi,http://www.youtube.com/user/garamendiCA10,http://instagram.com/repgaramendi/,,D,08,,,2004,RHOB,Armed Services;Transportation,,2577706576.40625,384740.588501246
33,06,14,0614,5001900US0614,Congressional District 14,C2,119,G5200,N,1503389037,74912270,+37.6325330,-121.8394566,CA14,S001193,00010748,Mr. ,Eric,,Swalwell,,"Swalwell, Eric",55065,https://swalwell.house.gov,N,https://swalwell.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca14_swalwell.jpg,https://www.facebook.com/CongressmanEricSwalwell,https://twitter.com/RepSwalwell,http://www.youtube.com/user/ericswalwell,http://instagram.com/repswalwell,,D,14,,,174,CHOB,Homeland Security;the Judiciary,,2520951265.625,313099.751093597
34,06,33,0633,5001900US0633,Congressional District 33,C2,119,G5200,N,490000941,2760139,+34.1155843,-117.3391148,CA33,A000371,00010763,Mr. ,Pete,,Aguilar,,"Aguilar, Pete",53201,https://aguilar.house.gov/,N,https://aguilar.house.gov/email-me/,https://ziplook.house.gov/zip/pictures/ca33_aguilar.jpg,http://www.facebook.com/RepPeteAguilar/,http://twitter.com/RepPeteAguilar,,http://instagram.com/Rep.PeteAguilar/,,D,33,,,108,CHOB,Appropriations,,720735346.644531,220254.237199601
35,06,46,0646,5001900US0646,Congressional District 46,C2,119,G5200,N,193675516,528875,+33.7947853,-117.9082965,CA46,C001110,00010322,Mr. ,J.,Luis,Correa,,"Correa, J.",52965,https://correa.house.gov,N,https://correa.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca46_correa.jpg,http://www.facebook.com/RepLouCorrea/,http://twitter.com/reploucorrea,http://www.youtube.com/channel/UCIKJJp4QJIDjnjodc23qKkw,http://instagram.com/reploucorrea/,https://www.flickr.com/photos/151329914@N07/,D,46,,,2301,RHOB,Homeland Security;the Judiciary,,281926344.074219,147525.328355338
36,06,16,0616,5001900US0616,Congressional District 16,C2,119,G5200,N,1370281645,477793556,+37.3351737,-122.2876744,CA16,L000607,00010971,Mr. ,Sam,T.,Liccardo,,"Liccardo, Sam",58104,https://liccardo.house.gov/,N,https://liccardo.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca16_liccardo.jpg,https://www.facebook.com/repliccardo,https://x.com/repliccardo,,https://www.instagram.com/repliccardo/,,D,16,,,1117,LHOB,Energy and Commerce,,2929751350.12109,451587.031975883
37,06,30,0630,5001900US0630,Congressional District 30,C2,119,G5200,N,464384392,2017006,+34.2280903,-118.2736260,CA30,F000483,00010974,Ms. ,Laura,,Friedman,,"Friedman, Laura",54176,https://friedman.house.gov/,N,https://friedman.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca30_friedman.jpg,https://www.facebook.com/RepLauraFriedman,https://x.com/RepFriedmanCA,,https://www.instagram.com/RepLauraFriedman/,,D,30,,,1517,LHOB,the Judiciary,,683973865.28125,245979.299347397
38,06,49,0649,5001900US0649,Congressional District 49,C2,119,G5200,N,1284475535,454025804,+33.3164154,-117.4258680,CA49,L000593,00010433,Mr. ,Mike,,Levin,,"Levin, Mike",53906,https://levin.house.gov/,N,https://levin.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca49_levinmike.jpg,http://www.facebook.com/RepMikeLevin,http://twitter.com/RepMikeLevin,http://www.youtube.com/channel/UCYFDRohyZgoPy5rXOaVZO-A/featured,http://instagram.com/RepMikeLevin,http://www.flickr.com/photos/185627757@N07/,D,49,,,2352,LHOB,Natural Resources;Veterans' Affairs,,2496150007.16406,343740.489001891
39,06,35,0635,5001900US0635,Congressional District 35,C2,119,G5200,N,459007647,514721,+34.0376468,-117.6197226,CA35,T000474,00010187,Mrs.,Norma,J.,Torres,,"Torres, Norma",56161,https://torres.house.gov/,N,https://torres-live.house.gov/contact/email-me,https://ziplook.house.gov/zip/pictures/ca35_torres.jpg,http://www.facebook.com/RepNormaTorres,http://twitter.com/NormaJTorres,http://www.youtube.com/channel/UCvWY4qKP6--o3pIJY7hhKDg,http://instagram.com/repnormatorres/,,D,35,,,2227,RHOB,Appropriations;House Administration,,670888154.046875,183740.831903251
40,06,39,0639,5001900US0639,Congressional District 39,C2,119,G5200,N,735864387,4211110,+33.9061846,-117.3164563,CA39,T000472,00010766,Mr. ,Mark,,Takano,,"Takano, Mark",52305,https://takano.house.gov,N,https://takano.house.gov/contact/email-me,https://ziplook.house.gov/zip/pictures/ca39_takano.jpg,https://www.facebook.com/RepMarkTakano,https://twitter.com/RepMarkTakano,https://www.youtube.com/user/RepMarkTakano,http://instagram.com/repmarktakano,https://www.flickr.com/photos/RepMarkTakano,D,39,,,2078,RHOB,Education and Workforce;Veterans' Affairs,,1077184686.66797,259884.840994134
41,06,05,0605,5001900US0605,Congressional District 5,C2,119,G5200,N,25401888554,414580789,+37.7133001,-119.8504285,CA05,M001177,00010739,Mr. ,Tom,,McClintock,,"McClintock, Tom",52511,https://mcclintock.house.gov/,N,https://mcclintock.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca04_mcclintock.jpg,http://www.facebook.com/pages/Congressman-Tom-McClintock/81125319109,http://x.com/RepMcClintock,https://youtube.com/@McClintockCA05,http://instagram.com/repmcclintock/,,R,05,,,2256,RHOB,Natural Resources;the Budget;the Judiciary,,41325392002.375,1770384.55716982
42,06,12,0612,5001900US0612,Congressional District 12,C2,119,G5200,N,239977617,126063298,+37.7801271,-122.2408008,CA12,S001231,00010969,Ms. ,Lateefah,,Simon,,"Simon, Lateefah",52661,https://simon.house.gov/,N,https://simon.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca12_simon.jpg,,https://x.com/RepLSimon,,,,D,12,,,1023,LHOB,Appropriations;the Budget,,586947397.480469,124678.565766131
43,06,24,0624,5001900US0624,Congressional District 24,C2,119,G5200,N,12655033580,3811623101,+34.7248434,-120.0579053,CA24,C001112,00010320,Mr. ,Salud,O.,Carbajal,,"Carbajal, Salud",53601,https://carbajal.house.gov,N,https://carbajal.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ca24_carbajal.jpg,https://www.facebook.com/repsaludcarbajal,https://twitter.com/repcarbajal,https://youtube.com/repcarbajal,https://instagram.com/repcarbajal,,D,24,,,2331,RHOB,Agriculture;Armed Services;Transportation,,24442442886.8711,1416701.59639131
44,06,32,0632,5001900US0632,Congressional District 32,C2,119,G5200,N,767253650,239266157,+34.0934997,-118.6575181,CA32,S000344,00010762,Mr. ,Brad,,Sherman,,"Sherman, Brad",55911,https://sherman.house.gov,N,https://sherman.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca32_sherman.jpg,https://www.facebook.com/CongressmanBradSherman,https://twitter.com/i/flow/logi,,,,D,32,,,2365,RHOB,Financial Services;Foreign Affairs,,1471419428.17969,290336.059419638
45,06,45,0645,5001900US0645,Congressional District 45,C2,119,G5200,N,268375048,896726,+33.8816648,-118.0351994,CA45,T000491,00010976,Mr. ,Derek,,Tran,,"Tran, Derek",52415,https://tran.house.gov/,N,https://tran.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca45_tran.jpg,,,,,,D,45,,,1127,LHOB,Education and Workforce;Sel Comm Strategic Comp Us Chi;Ways and Means,,391191238.796875,248744.009655693
46,06,52,0652,5001900US0652,Congressional District 52,C2,119,G5200,N,350386820,20741861,+32.6286787,-117.0353225,CA52,V000130,00010775,Mr. ,Juan,,Vargas,,"Vargas, Juan",58045,https://vargas.house.gov,N,https://vargas.house.gov/contact,https://ziplook.house.gov/zip/pictures/ca52_vargas.jpg,http://www.facebook.com/RepJuanVargas,http://twitter.com/RepJuanVargas,http://www.youtube.com/user/RepJuanVargas,http://instagram.com/repjuanvargas/,,D,52,,,2334,RHOB,Financial Services,,524736704.488281,161857.672625697
47,06,34,0634,5001900US0634,Congressional District 34,C2,119,G5200,N,128664516,962989,+34.0713045,-118.2166365,CA34,G000585,00010402,Mr. ,Jimmy,,Gomez,,"Gomez, Jimmy",56235,https://gomez.house.gov/,N,https://gomez.house.gov/contact/,https://ziplook.house.gov/zip/pictures/ca34_gomez.jpg,https://www.facebook.com/RepJimmyGomez,https://twitter.com/RepJimmyGomez,,,,D,34,,,506,CHOB,Intelligence (Permanent);Oversight and Gov Reform,,189395840.5,107518.370820504
48,06,36,0636,5001900US0636,Congressional District 36,C2,119,G5200,N,251515347,252540525,+33.8698189,-118.4052955,CA36,L000582,00010764,Mr. ,Ted,,Lieu,,"Lieu, Ted",53976,https://lieu.house.gov/,N,https://lieu.house.gov/address_authentication?form=/contact,https://ziplook.house.gov/zip/pictures/ca36_lieu.jpg,https://www.facebook.com/RepTedLieu/,https://twitter.com/RepTedLieu,https://www.youtube.com/@RepTedLieu,,,D,36,,,2454,RHOB,"Foreign Affairs;Science, Space, and Technology;the Judiciary",,733023184.496094,216375.619703926
